episode,running_reward,tag
640,0.03899569269005796,biologica
1280,0.36062906548906787,biologica
1920,0.6941649419154561,biologica
2560,0.8770304044967613,biologica
3200,0.955263818104036,biologica
3840,0.983962708567989,biologica
4480,0.994250856788061,biologica
5120,0.9979390130926094,biologica
5760,0.9992611652074322,biologica
6400,0.999735138127879,biologica
7040,0.999905050747462,biologica
7680,0.9999659620296218,biologica
8320,0.9999877978667921,biologica
8960,0.9999956257070215,biologica
9600,0.999998431877547,biologica
10240,0.999999437850176,biologica
10880,0.9999997984772018,biologica
11520,0.999999927756914,biologica
12160,0.9999999741018708,biologica
12800,0.9999999907158852,biologica
13440,0.9999999966717755,biologica
14080,0.9999999988068784,biologica
14720,0.9999999995722827,biologica
15360,0.9999999998466692,biologica
16000,0.999999999945033,biologica
16640,0.9999999999802951,biologica
17280,0.9999999999929361,biologica
17920,0.9999999999974677,biologica
18560,0.9999999999990921,biologica
19200,0.9999999999996745,biologica
19840,0.9999999999998831,biologica
20480,0.9999999999999581,biologica
21120,0.999999999999985,biologica
21760,0.9999999999999947,biologica
22400,0.999999999999998,biologica
23040,0.999999999999999,biologica
23680,0.999999999999999,biologica
24320,0.999999999999999,biologica
24960,0.999999999999999,biologica
25600,0.999999999999999,biologica
26240,0.999999999999999,biologica
26880,0.999999999999999,biologica
27520,0.999999999999999,biologica
28160,0.999999999999999,biologica
28800,0.999999999999999,biologica
29440,0.999999999999999,biologica
30080,0.999999999999999,biologica
30720,0.999999999999999,biologica
31360,0.999999999999999,biologica
32000,0.999999999999999,biologica
32640,0.999999999999999,biologica
33280,0.999999999999999,biologica
33920,0.999999999999999,biologica
34560,0.999999999999999,biologica
35200,0.999999999999999,biologica
35840,0.999999999999999,biologica
36480,0.999999999999999,biologica
37120,0.999999999999999,biologica
37760,0.999999999999999,biologica
38400,0.999999999999999,biologica
39040,0.999999999999999,biologica
39680,0.999999999999999,biologica
40320,0.999999999999999,biologica
40960,0.999999999999999,biologica
41600,0.999999999999999,biologica
42240,0.999999999999999,biologica
42880,0.999999999999999,biologica
43520,0.999999999999999,biologica
44160,0.999999999999999,biologica
44800,0.999999999999999,biologica
45440,0.999999999999999,biologica
46080,0.999999999999999,biologica
46720,0.999999999999999,biologica
47360,0.999999999999999,biologica
48000,0.999999999999999,biologica
48640,0.999999999999999,biologica
49280,0.999999999999999,biologica
49920,0.999999999999999,biologica
50560,0.999999999999999,biologica
51200,0.999999999999999,biologica
51840,0.999999999999999,biologica
52480,0.999999999999999,biologica
53120,0.999999999999999,biologica
53760,0.999999999999999,biologica
54400,0.999999999999999,biologica
55040,0.999999999999999,biologica
55680,0.999999999999999,biologica
56320,0.999999999999999,biologica
56960,0.999999999999999,biologica
57600,0.999999999999999,biologica
58240,0.999999999999999,biologica
58880,0.999999999999999,biologica
59520,0.999999999999999,biologica
60160,0.999999999999999,biologica
60800,0.999999999999999,biologica
61440,0.999999999999999,biologica
62080,0.999999999999999,biologica
62720,0.999999999999999,biologica
63360,0.999999999999999,biologica
64000,0.999999999999999,biologica
64640,0.999999999999999,biologica
65280,0.999999999999999,biologica
65920,0.999999999999999,biologica
66560,0.999999999999999,biologica
67200,0.999999999999999,biologica
67840,0.999999999999999,biologica
68480,0.999999999999999,biologica
69120,0.999999999999999,biologica
69760,0.999999999999999,biologica
70400,0.999999999999999,biologica
71040,0.999999999999999,biologica
71680,0.999999999999999,biologica
72320,0.999999999999999,biologica
72960,0.999999999999999,biologica
73600,0.999999999999999,biologica
74240,0.999999999999999,biologica
74880,0.999999999999999,biologica
75520,0.999999999999999,biologica
76160,0.999999999999999,biologica
76800,0.999999999999999,biologica
77440,0.999999999999999,biologica
78080,0.999999999999999,biologica
78720,0.999999999999999,biologica
79360,0.999999999999999,biologica
80000,0.999999999999999,biologica
80640,0.999999999999999,biologica
81280,0.999999999999999,biologica
81920,0.999999999999999,biologica
82560,0.999999999999999,biologica
83200,0.999999999999999,biologica
83840,0.999999999999999,biologica
84480,0.999999999999999,biologica
85120,0.999999999999999,biologica
85760,0.999999999999999,biologica
86400,0.999999999999999,biologica
87040,0.999999999999999,biologica
